#{"t_start": 1775412613.600419, "env_id": "Inverted_Pendulum_version_1"}
r,l,t
48.095147,500,88.209321
45.230768,500,88.271427
46.859888,500,88.332919
44.085274,500,88.3944
44.455504,500,88.769306
49.941252,500,88.831826
45.737457,500,88.89367
49.317849,500,88.955689
47.209213,500,89.331753
52.715673,500,89.394425
45.198517,500,89.457264
46.272448,500,89.518977
47.377908,500,89.892092
44.253953,500,89.954757
50.194271,500,90.01688
49.31229,500,90.081079
50.655983,500,90.458617
48.578838,500,90.521503
45.429717,500,90.584174
50.492025,500,90.646152
50.889928,500,91.023706
49.559942,500,91.08606
49.894334,500,91.149234
46.21697,500,91.212219
52.921409,500,91.589903
52.175645,500,91.65231
46.594902,500,91.713803
50.258258,500,91.775336
45.21007,500,92.180687
47.046384,500,92.246768
48.074471,500,92.315436
43.925775,500,92.39636
44.345968,500,92.472762
44.088725,500,92.925713
45.677428,500,92.988958
49.897979,500,93.056468
43.822783,500,93.120223
49.885892,500,93.510854
45.973195,500,93.577369
45.530366,500,93.640983
49.703557,500,93.703344
46.681392,500,94.083355
52.349383,500,94.145619
50.257293,500,94.208298
44.778842,500,94.270868
48.750194,500,94.647463
45.394967,500,94.709031
45.986868,500,94.771062
43.920529,500,94.83306
48.930844,500,95.214043
53.010407,500,95.276771
44.73143,500,95.338874
43.823384,500,95.401292
45.166157,500,95.778832
52.485561,500,95.841681
51.570859,500,95.904031
44.778176,500,95.966619
50.190265,500,96.343787
46.258781,500,96.407267
46.058281,500,96.470143
47.478696,500,96.533103
50.822285,500,96.918403
51.550733,500,96.985444
49.994685,500,97.049226
46.310595,500,97.112566
47.676372,500,97.594116
46.918738,500,97.670608
46.468815,500,97.737477
44.510365,500,97.802098
51.74192,500,98.196884
46.895948,500,98.261039
51.898926,500,98.325909
47.347282,500,98.389853
47.794025,500,98.769835
45.098516,500,98.833367
52.589337,500,98.896118
44.633949,500,98.958705
45.404942,500,99.021099
49.868563,500,99.396274
51.889844,500,99.457891
49.496224,500,99.520708
47.479325,500,99.583351
50.734123,500,99.960867
45.066261,500,100.022922
44.137591,500,100.087112
52.489952,500,100.149861
49.548287,500,100.527066
51.358925,500,100.589529
48.003202,500,100.651456
47.049078,500,100.713692
45.008263,500,101.089082
49.044005,500,101.152047
44.887266,500,101.214272
48.395208,500,101.276278
46.90974,500,101.652341
43.965355,500,101.715096
51.160547,500,101.778377
45.410898,500,101.841139
47.870006,500,102.217953
46.696942,500,102.280598
47.346714,500,102.343207
50.299791,500,102.406013
44.738689,500,102.783852
45.704988,500,102.846676
44.982614,500,102.908642
48.70709,500,102.971099
47.805487,500,103.35063
52.417312,500,103.414128
52.582773,500,103.478104
45.619694,500,103.540567
52.817861,500,103.948626
44.563906,500,104.011196
50.257785,500,104.072501
43.845541,500,104.134548
45.908578,500,104.508831
43.971701,500,104.571882
52.654977,500,104.632977
50.417144,500,104.695497
45.367946,500,104.758307
48.623034,500,105.13419
45.620184,500,105.19595
49.859922,500,105.257896
46.90583,500,105.320029
49.452128,500,105.700656
52.392278,500,105.763594
47.750759,500,105.826544
49.36746,500,105.890707
45.851366,500,106.270001
43.924808,500,106.333465
50.806665,500,106.395721
43.985502,500,106.458303
49.562868,500,106.834882
46.998625,500,106.897261
50.142314,500,106.960595
44.238119,500,107.023933
50.992224,500,107.40148
51.576835,500,107.464091
49.839001,500,107.526514
52.193354,500,107.58837
47.767836,500,107.968678
51.398455,500,108.031415
51.36069,500,108.094042
46.013068,500,108.156971
44.015802,500,108.531799
48.814942,500,108.594472
47.333672,500,108.657325
47.502044,500,108.719743
50.856275,500,109.096875
47.984264,500,109.159151
46.437428,500,109.221266
45.823358,500,109.282572
44.701385,500,109.65714
52.111555,500,109.720309
47.10705,500,109.782095
51.281574,500,109.843705
45.088195,500,110.221371
46.873598,500,110.284196
47.867073,500,110.346851
51.590918,500,110.409025
51.101173,500,110.472073
49.534355,500,110.84774
48.063344,500,110.909306
50.487693,500,110.97151
44.758329,500,111.033491
49.049285,500,111.40765
47.429976,500,111.470039
47.84871,500,111.533113
47.780345,500,111.595734
47.425424,500,111.97035
47.67724,500,112.032791
52.26473,500,112.094509
48.317749,500,112.156043
47.68638,500,112.528771
48.020919,500,112.591118
52.923603,500,112.653574
45.137828,500,112.716313
50.748038,500,113.090305
52.244474,500,113.152704
44.851527,500,113.21454
45.644985,500,113.276257
43.825865,500,113.650479
51.665081,500,113.712731
52.917879,500,113.775176
47.677065,500,113.837389
52.369288,500,114.212865
50.963278,500,114.275291
45.010197,500,114.336501
51.657961,500,114.39833
50.284577,500,114.771449
45.944446,500,114.834013
50.007096,500,114.896315
50.338618,500,114.958806
50.376908,500,115.337276
47.533952,500,115.400757
51.186577,500,115.46342
53.195347,500,115.526384
46.211008,500,115.900832
48.174042,500,115.963404
45.884017,500,116.025674
45.14458,500,116.088158
51.936075,500,116.461869
46.351536,500,116.525182
46.896432,500,116.587264
48.667662,500,116.679902
52.111033,500,116.755453
46.438928,500,117.170561
46.962563,500,117.23332
49.556853,500,117.29523
50.272259,500,117.357734
52.025547,500,117.733855
52.220603,500,117.796136
51.220683,500,117.857549
48.091182,500,117.919029
47.16871,500,118.294157
47.713108,500,118.356309
46.072202,500,118.417596
45.325683,500,118.479867
44.79284,500,118.853812
49.325905,500,118.916747
48.158241,500,118.978964
49.471967,500,119.04002
53.028452,500,119.414064
50.57267,500,119.476195
45.675133,500,119.538598
48.714887,500,119.600665
44.642203,500,119.973192
53.430904,500,120.035469
47.860197,500,120.099461
50.370133,500,120.162259
48.404759,500,120.538452
44.539772,500,120.601514
47.696079,500,120.664671
47.58677,500,120.726663
46.811493,500,121.103313
50.825017,500,121.166343
52.878494,500,121.229047
44.532974,500,121.292026
53.321769,500,121.667578
45.006775,500,121.730363
52.999312,500,121.793182
49.596172,500,121.855919
45.913563,500,122.230346
53.343595,500,122.292325
51.732102,500,122.354345
51.166333,500,122.4165
51.179259,500,122.478507
47.236663,500,122.852579
50.603087,500,122.914059
52.113909,500,122.977052
47.703564,500,123.039569
49.971977,500,123.414146
49.772317,500,123.476491
48.621886,500,123.53922
45.723652,500,123.601749
47.770822,500,123.976301
47.027805,500,124.038909
48.557692,500,124.101244
46.579505,500,124.163819
45.957902,500,124.53803
44.58523,500,124.600783
47.716359,500,124.663766
45.605449,500,124.727032
51.932766,500,125.104116
45.37218,500,125.167384
52.326474,500,125.230125
53.05148,500,125.291887
43.939818,500,125.667622
49.571294,500,125.73004
48.367779,500,125.792452
50.12289,500,125.854857
45.989437,500,126.228415
51.411627,500,126.290929
49.57152,500,126.353191
45.396,500,126.414933
48.48595,500,126.787725
46.907969,500,126.850136
50.99176,500,126.91265
47.74559,500,126.975002
48.348856,500,127.349384
46.84278,500,127.411411
45.860674,500,127.473529
46.393601,500,127.534835
43.407515,500,127.908049
45.061283,500,127.971111
48.917878,500,128.033739
43.889834,500,128.09617
44.196642,500,128.472612
44.346021,500,128.53545
44.84336,500,128.598169
49.058654,500,128.66115
52.581568,500,128.723346
43.789238,500,129.098003
45.935879,500,129.161072
51.49241,500,129.223381
44.626547,500,129.286004
46.340016,500,129.66114
49.648691,500,129.723623
46.70419,500,129.784866
52.869771,500,129.845888
50.478771,500,130.224544
49.66884,500,130.287305
45.082246,500,130.350237
52.77343,500,130.412035
45.651157,500,130.785599
48.580365,500,130.848282
48.284953,500,130.910231
51.850133,500,130.972566
49.250097,500,131.346509
43.420928,500,131.408702
52.017209,500,131.471608
46.204086,500,131.535437
49.028587,500,131.909685
45.390961,500,131.972421
49.560126,500,132.035392
49.179084,500,132.097411
44.908346,500,132.470951
47.188506,500,132.533093
50.552787,500,132.5955
51.588386,500,132.657673
44.90258,500,133.031712
45.130045,500,133.094872
51.756502,500,133.157957
46.256953,500,133.220269
51.137692,500,133.596456
52.656238,500,133.659156
50.142744,500,133.722075
52.383429,500,133.784659
49.877111,500,134.160562
49.170932,500,134.223586
48.994402,500,134.285667
48.232473,500,134.346879
49.795785,500,134.408302
44.084276,500,134.78392
48.113549,500,134.846134
51.509232,500,134.90902
53.022317,500,134.971995
51.849063,500,135.351124
49.997343,500,135.41285
52.045069,500,135.475106
50.685286,500,135.537314
45.727585,500,135.912593
52.564822,500,135.974885
46.823057,500,136.037234
51.171005,500,136.099119
51.858804,500,136.474072
50.603335,500,136.536272
52.856297,500,136.598244
44.707874,500,136.660297
46.971815,500,137.037448
48.233913,500,137.100683
47.881756,500,137.16315
46.871315,500,137.225233
45.085392,500,137.600859
46.586196,500,137.664326
50.738246,500,137.726965
52.751008,500,137.789751
43.925455,500,138.166414
52.202092,500,138.229113
49.682566,500,138.291234
52.05393,500,138.353209
50.772559,500,138.730332
52.616581,500,138.793816
45.995829,500,138.860114
44.042991,500,138.92295
51.088308,500,139.299046
50.121196,500,139.361326
